sentence_id,sentence,code_switch,all_aspects,all_opinions,valence_scores,arousal_scores
152,ajittyagi jisse private school hospital apne fayde ka dikh rha usse koi kabhi zindagi me nhi sumjha sakta,ajittyagi:HI jisse:HI private:EN school:EN hospital:EN apne:HI fayde:HI ka:HI dikh:HI rha:HI usse:HI koi:HI kabhi:HI zindagi:HI me:HI nhi:HI sumjha:HI sakta:HI,{ajittyagi},{jisse private school hospital apne fayde ka dikh rha usse koi kabhi zindagi me nhi sumjha sakta},{0.352},{0.555}
153,jain 2104 apne dimag k ghode mt chla zyda bc,jain:HI 2104:EN apne:HI dimag:HI k:HI ghode:HI mt:EN chla:HI zyda:HI bc:EN,{dimag},{apne dimag k ghode mt chla zyda},{0.100},{0.800}
154,divine arrey mene to abi dekha apne muje dm m block kr rkha hai,divine:EN arrey:HI mene:HI to:HI abi:HI dekha:HI apne:HI muje:HI dm:EN m:EN block:EN kr:EN rkha:HI hai:HI,{divine},{dm m block kr rkha hai},{0.243},{0.425}
155,yeh foto dekh k bahut dukh ho raha muje apne club pe i dono why,yeh:HI foto:EN dekh:HI k:HI bahut:HI dukh:HI ho:HI raha:HI muje:HI apne:HI club:EN pe:HI i:EN dono:HI why:EN,{club},{bahut dukh ho raha muje apne club pe},{0.363},{0.659}
156,sirf anchal ya aura user name rkhne se koi uska fan ni bnta asli fan apne idol ki izat badata hai na hi ghatata ni also ye jo bhi drama chl ra bb hashtag mai ye kisi bhi fan ka kiya dhara ni h these are toxic jb ghee tedhi unglee se nikal re barristerbabu,sirf:HI anchal:HI ya:HI aura:EN user:EN name:EN rkhne:HI se:HI koi:HI uska:HI fan:EN ni:HI bnta:HI asli:HI fan:EN apne:HI idol:EN ki:HI izat:HI badata:HI hai:HI na:HI hi:HI ghatata:HI ni:HI also:EN ye:HI jo:HI bhi:HI drama:EN chl:HI ra:HI bb:EN hashtag:EN mai:HI ye:HI kisi:HI bhi:HI fan:EN ka:HI kiya:HI dhara:HI ni:HI h:EN these:EN are:EN toxic:EN jb:EN ghee:HI tedhi:HI unglee:HI se:HI nikal:HI re:HI barristerbabu:HI,{user name; drama},{sirf anchal ya aura user name rkhne se koi uska fan ni bnta; ye jo bhi drama chl ra bb hashtag mai ye kisi bhi fan ka kiya dhara ni h},{0.518; 0.403},{0.376; 0.621}
157,the fact is congress ko bola sher aya ghar aur desh chod kar bhag jayege rumours ki duniya aur vijaya ke sapne dekh rahe hai kuch to fact check karva lo apne assistant se fir kehte ho ki congress is not involved in spreading rumours shame on you,the:EN fact:EN is:EN congress:EN ko:HI bola:HI sher:HI aya:HI ghar:HI aur:HI desh:HI chod:HI kar:HI bhag:HI jayege:HI rumours:EN ki:HI duniya:HI aur:HI vijaya:HI ke:HI sapne:HI dekh:HI rahe:HI hai:HI kuch:HI to:EN fact:EN check:EN karva:HI lo:HI apne:HI assistant:EN se:HI fir:HI kehte:HI ho:HI ki:HI congress:EN is:EN not:EN involved:EN in:EN spreading:EN rumours:EN shame:EN on:EN you:EN,{congress},{rumours ki duniya aur vijaya ke sapne dekh rahe hai kuch to fact check karva lo apne assistant se fir kehte ho ki congress is not involved in spreading rumours shame on you},{0.293},{0.675}
158,bhai gunde hote to waha bhete bhete 500log apna jaan nhi gawate agar apne aap ko katat hindu bolte ho to hai himat apne govt ko bole ki goa me beef ban kyu nhi hai kaha gai hinduvad ki sarkar goa me beef ban kyu nhi karwa pa rhi hai bcoz inko sirf vote chaiye hinduo se matlb nhi,bhai:HI gunde:HI hote:HI to:HI waha:HI bhete:HI bhete:HI 500log:HI apna:HI jaan:HI nhi:HI gawate:HI agar:HI apne:HI aap:HI ko:HI katat:HI hindu:EN bolte:HI ho:HI to:HI hai:HI himat:HI apne:HI govt:EN ko:HI bole:HI ki:HI goa:EN me:HI beef:EN ban:EN kyu:HI nhi:HI hai:HI kaha:HI gai:HI hinduvad:HI ki:HI sarkar:HI goa:EN me:HI beef:EN ban:EN kyu:HI nhi:HI karwa:HI pa:HI rhi:HI hai:HI bcoz:EN inko:HI sirf:HI vote:EN chaiye:HI hinduo:HI se:HI matlb:HI nhi:HI,{gov; sarkar},{goa me beef ban kyu nhi karwa pa rhi hai bcoz inko sirf vote chaiye; hinduvad ki sarkar goa me beef ban kyu nhi karwa pa rhi hai},{0.243; 0.232},{0.675; 0.650}
159,scindia kab kiya bhai maratha ne raaj ir maratha lootere the unhone apne sath mulle pindari ko sath rakha or jo aapne padha wo itihash nahi unka pr h maratha khood mughal ke naukar ke naukar the or itihash kholu parathao ka,scindia:HI kab:HI kiya:HI bhai:HI maratha:HI ne:HI raaj:HI ir:EN maratha:HI lootere:HI the:HI unhone:HI apne:HI sath:HI mulle:EN pindari:EN ko:HI sath:HI rakha:HI or:EN jo:HI aapne:HI padha:HI wo:HI itihash:HI nahi:HI unka:HI pr:EN h:EN maratha:HI khood:HI mughal:HI ke:HI naukar:HI ke:HI naukar:HI the:HI or:EN itihash:HI kholu:HI parathao:HI ka:HI,{itihash; maratha},{itihash nahi unka pr h maratha khood mughal ke naukar ke naukar the; maratha lootere the unhone apne sath mulle pindari ko sath rakha},{0.100; 0.050},{0.750; 0.850}
160,anchal ko tumhe apna fan bolte huwe sharam aege jalte raho tumhare jalne se kuch nh hone wala dheklo anchalians aur pravishtians apne fd ki harkaten barristerbabu,anchal:HI ko:HI tumhe:HI apna:HI fan:EN bolte:HI huwe:HI sharam:HI aege:HI jalte:HI raho:HI tumhare:HI jalne:HI se:HI kuch:HI nh:EN hone:HI wala:HI dheklo:HI anchalians:HI aur:HI pravishtians:HI apne:HI fd:EN ki:HI harkaten:HI barristerbabu:HI,{fd},{harkaten},{0.200},{0.700}
161,rathee agar kisi din dange huye to ye sab naare lagane wale apne ghar mein baithenge aur pata hai marega kaun tum aur tumhara parivar mai aur mera parivar aur bahut sare humare jaise aam log ye rss bjp walon ko hinduo ki kuchh nahi padi inhe bad election jeetne se matlab hai,rathee:EN agar:HI kisi:HI din:HI dange:HI huye:HI to:HI ye:HI sab:HI naare:HI lagane:HI wale:HI apne:HI ghar:HI mein:HI baithenge:HI aur:HI pata:HI hai:HI marega:HI kaun:HI tum:HI aur:HI tumhara:HI parivar:HI mai:HI aur:HI mera:HI parivar:HI aur:HI bahut:HI sare:HI humare:HI jaise:HI aam:HI log:HI ye:HI rss:EN bjp:EN walon:HI ko:HI hinduo:HI ki:HI kuchh:HI nahi:HI padi:HI inhe:HI bad:EN election:EN jeetne:HI se:HI matlab:HI hai:HI,{rathee; rss bjp},{apne ghar mein baithenge; hinduo ki kuchh nahi padi inhe bad election jeetne se matlab hai},{0.325; 0.237},{0.569; 0.711}
162,ashu i m serious maine ek bar ji commitment kardi to mai apne apki bhi ni sunta,ashu:HI i:EN m:EN serious:EN maine:HI ek:HI bar:EN ji:HI commitment:EN kardi:HI to:EN mai:HI apne:HI apki:HI bhi:HI ni:HI sunta:HI,{commitment},{maine ek bar ji commitment kardi to mai apne apki bhi ni sunta},{0.636},{0.565}
163,ab mujhe ispe dayaa aa rahi hai kyuki whatever she is doing is not in her control lekin yaar what if she is playing so i better keep quiet over this let the judge decide apne ko kya,ab:HI mujhe:HI ispe:HI dayaa:HI aa:HI rahi:HI hai:HI kyuki:HI whatever:EN she:EN is:EN doing:EN is:EN not:EN in:EN her:EN control:EN lekin:HI yaar:HI what:EN if:EN she:EN is:EN playing:EN so:EN i:EN better:EN keep:EN quiet:EN over:EN this:EN let:EN the:EN judge:EN decide:EN apne:HI ko:HI kya:HI,{playing},{what if she is playing so i better keep quiet},{0.575},{0.405}
164,wow the audacity of this man adhay pakistan k abbon ko apne bachon ki class tak nahi sahi se pata hoti emotionally unavailable as hell hotay hain desi fathers but the approach will always be of blaming the victim,wow:EN the:EN audacity:EN of:EN this:EN man:EN adhay:HI pakistan:EN k:HI abbon:HI ko:HI apne:HI bachon:HI ki:HI class:EN tak:HI nahi:HI sahi:HI se:HI pata:HI hoti:HI emotionally:EN unavailable:EN as:EN hell:EN hotay:HI hain:HI desi:HI fathers:EN but:EN the:EN approach:EN will:EN always:EN be:EN of:EN blaming:EN the:EN victim:EN,{father; approach},{emotionally unavailable as hell hotay hain desi fathers but the approach will always be of blaming the victim; the approach will always be of blaming the victim},{0.252; 0.312},{0.632; 0.551}
165,koi na mera veer honsla rakh marukh ko dikhae apne what was her reaction,koi:HI na:HI mera:HI veer:HI honsla:HI rakh:HI marukh:HI ko:HI dikhae:HI apne:HI what:EN was:EN her:EN reaction:EN,{veer},{honsla rakh marukh ko dikhae},{0.700},{0.650}
166,in khiladiyon ne hamen kya diya hai main yah bhi janna chahta hun hamari desh musibat mein the tabiyat khiladi laga apne ghar mein chupchap baithe the ine khiladiyon ke liye ham tali bajate hain lekin khiladiyon ne hamare liye kya rupaye the desh ka ek hero hai sonu bhaiya,in:EN khiladiyon:HI ne:HI hamen:HI kya:HI diya:HI hai:HI main:HI yah:HI bhi:HI janna:HI chahta:HI hun:HI hamari:HI desh:HI musibat:HI mein:HI the:EN tabiyat:HI khiladi:HI laga:HI apne:HI ghar:HI mein:HI chupchap:HI baithe:HI the:HI ine:EN khiladiyon:HI ke:HI liye:HI ham:HI tali:HI bajate:HI hain:HI lekin:HI khiladiyon:HI ne:HI hamare:HI liye:HI kya:HI rupaye:HI the:EN desh:HI ka:HI ek:HI hero:EN hai:HI sonu:HI bhaiya:HI,{khiladiyon; sonu bhaiya},{apne ghar mein chupchap baithe the; desh ka ek hero hai},{0.120; 0.930},{0.750; 0.803}
167,0 pta nhi pr bs abhi k liye dheere dheere jb sb bahar aaenge apne shell se tb pta chalega kaise h exactly vo pratik bhi interesting,0:EN pta:HI nhi:HI pr:EN bs:EN abhi:HI k:HI liye:HI dheere:HI dheere:HI jb:EN sb:EN bahar:HI aaenge:HI apne:HI shell:EN se:HI tb:EN pta:HI chalega:HI kaise:HI h:EN exactly:EN vo:HI pratik:HI bhi:HI interesting:EN,{pratik},{interesting},{0.814},{0.588}
168,sarkar ye apka hi to kaam tha jo apne nhi kiya tamam idaron main retirement ke baad ghar pe aram karne ka law hona chahiye nake ke kisi dusre sarkari idaray main ja ke afsari jharne ka sick of this,sarkar:HI ye:HI apka:HI hi:HI to:EN kaam:HI tha:HI jo:HI apne:HI nhi:HI kiya:HI tamam:HI idaron:HI main:HI retirement:EN ke:HI baad:HI ghar:HI pe:HI aram:HI karne:HI ka:HI law:EN hona:HI chahiye:HI nake:HI ke:HI kisi:HI dusre:HI sarkari:HI idaray:HI main:HI ja:HI ke:HI afsari:HI jharne:HI ka:HI sick:EN of:EN this:EN,{sarkar; kaam},{apka hi to kaam tha jo apne nhi kiya; apne nhi kiya},{0.384; 0.150},{0.674; 0.650}
169,baron aji lan mera trophy kaha hai runs kya apne shirt par chipka ke chalega vo,baron:EN aji:HI lan:EN mera:HI trophy:EN kaha:HI hai:HI runs:EN kya:HI apne:HI shirt:EN par:HI chipka:HI ke:HI chalega:HI vo:HI,{trophy; runs},{kaha hai; kya apne shirt par chipka ke chalega vo},{0.100; 0.150},{0.750; 0.800}
170,are bhai yeh 1 ft ke chinese c hote hai inse bahash karke apne time waste mat karo aek lappar mein hi sara iski dadagiri nikal jayegi google please translate it,are:EN bhai:HI yeh:HI 1:EN ft:EN ke:HI chinese:EN c:EN hote:HI hai:HI inse:HI bahash:HI karke:HI apne:HI time:EN waste:EN mat:HI karo:HI aek:EN lappar:HI mein:HI hi:HI sara:HI iski:HI dadagiri:EN nikal:HI jayegi:HI google:EN please:EN translate:EN it:EN,{bhash; dadagiri},{inse bahash karke apne time waste mat karo; aek lappar mein hi sara iski dadagiri nikal jayegi},{0.259; 0.384},{0.520; 0.734}
171,bla subscribe karke our apne followers ko bol ke karavo,bla:HI subscribe:EN karke:HI our:EN apne:HI followers:EN ko:HI bol:HI ke:HI karavo:HI,{subscribe},{subscribe karke our apne followers ko bol ke karavo},{0.540},{0.411}
172,rape karme ke expert jo ki bharat ke brahman hai wo puri duniya ko apne jaisa hi samjhte hai tum saalo rapist kudey chunne wale baccho tak ka rape kar diya,rape:EN karme:HI ke:HI expert:EN jo:HI ki:HI bharat:HI ke:HI brahman:HI hai:HI wo:HI puri:HI duniya:HI ko:HI apne:HI jaisa:HI hi:HI samjhte:HI hai:HI tum:HI saalo:HI rapist:EN kudey:HI chunne:HI wale:HI baccho:HI tak:HI ka:HI rape:EN kar:HI diya:HI,{brahman},{rape karme ke expert jo ki bharat ke brahman hai},{0.210},{0.826}
173,behan tumse achi to tumhari bitch hai kam se kam loyal to h apne malik ke sth,behan:HI tumse:HI achi:HI to:HI tumhari:HI bitch:EN hai:HI kam:HI se:HI kam:HI loyal:EN to:EN h:EN apne:HI malik:HI ke:HI sth:EN,{bitch},{loyal to h apne malik ke sth},{0.200},{0.750}
174,1 shukla bsdke tu chinta mat kar uske liye tu bass apne malik ki chinta kar kiyuki tu majdoor hain tera kam hain streaming karna 100k comments karna reel bana bsdke nahin toh tere malik ek aur task dega,1:EN shukla:HI bsdke:HI tu:HI chinta:HI mat:HI kar:HI uske:HI liye:HI tu:HI bass:HI apne:HI malik:HI ki:HI chinta:HI kar:HI kiyuki:HI tu:HI majdoor:HI hain:HI tera:HI kam:HI hain:HI streaming:EN karna:HI 100k:EN comments:EN karna:HI reel:EN bana:HI bsdke:HI nahin:HI toh:HI tere:HI malik:HI ek:HI aur:HI task:EN dega:HI,{streaming; comments; reel},{tera kam hain streaming karna; 100k comments karna; reel bana},{0.396; 0.150; 0.325},{0.591; 0.750; 0.491}
175,ase kuch nhi hoga bhaiyo jaipur cmo offic ke bahar dharna dena hoga nhi to sal bhi khrab reet se bahar to carrier bhi kharab time bhi khrab apne dosto ko ikhata kro 12agust jaipur chalo sarkar kan me rui dale bethi hai help bed students be cancel bed bstc internship,ase:HI kuch:HI nhi:HI hoga:HI bhaiyo:HI jaipur:HI cmo:HI offic:EN ke:HI bahar:HI dharna:HI dena:HI hoga:HI nhi:HI to:HI sal:HI bhi:HI khrab:HI reet:HI se:HI bahar:HI to:EN carrier:EN bhi:HI kharab:HI time:EN bhi:HI khrab:HI apne:HI dosto:HI ko:HI ikhata:HI kro:HI 12agust:HI jaipur:HI chalo:HI sarkar:HI kan:HI me:HI rui:EN dale:HI bethi:HI hai:HI help:EN bed:EN students:EN be:EN cancel:EN bed:EN bstc:HI internship:EN,{carrier; time; sarkar},{carrier bhi kharab; time bhi khrab; sarkar kan me rui dale bethi hai},{0.292; 0.342; 0.361},{0.719; 0.544; 0.510}
176,m zhabi su r apne su r bhai ye bolo in innocent ko g0li naa maarein,m:EN zhabi:HI su:HI r:EN apne:HI su:HI r:EN bhai:HI ye:HI bolo:HI in:EN innocent:EN ko:HI g0li:HI naa:HI maarein:HI,{bhai},{ye bolo in innocent ko g0li naa maarein},{0.440},{0.528}
177,shukla beta we r not same teri mummy aur bakio ke mummy fadak hai tere idol aur mere fav me bhi farak hai majdoor rumdy ka beta katua majdoor bana hai kitna proud baat hai ab jke reel banao apne mummy ko bolna customers ke sath share kre views bad jaega,shukla:HI beta:HI we:EN r:EN not:EN same:EN teri:HI mummy:EN aur:HI bakio:HI ke:HI mummy:EN fadak:EN hai:HI tere:HI idol:EN aur:HI mere:HI fav:EN me:HI bhi:HI farak:HI hai:HI majdoor:HI rumdy:HI ka:HI beta:HI katua:HI majdoor:HI bana:HI hai:HI kitna:HI proud:EN baat:HI hai:HI ab:HI jke:HI reel:EN banao:HI apne:HI mummy:EN ko:HI bolna:HI customers:EN ke:HI sath:HI share:EN kre:HI views:EN bad:EN jaega:HI,{reel},{ajke reel banao},{0.150},{0.700}
178,k3060 there s nothing like veg biryani it s veg pulao ye veggies ka apne aap ko kush karne ka tarika hai,k3060:HI there:EN s:EN nothing:EN like:EN veg:EN biryani:HI it:EN s:EN veg:EN pulao:HI ye:HI veggies:EN ka:HI apne:HI aap:HI ko:HI kush:HI karne:HI ka:HI tarika:HI hai:HI,{veg biryani},{there s nothing like veg biryani it s veg pulao},{0.200},{0.650}
179,tum dono n apne fav bna liye y ni,tum:HI dono:HI n:EN apne:HI fav:EN bna:HI liye:HI y:EN ni:HI,{fav},{apne fav bna liye y ni},{0.500},{0.400}
180,bhai logo ki bhut jalti ha hum jese shippers se unka aik hi aim hota hai logo ki khushiyon se jalna maslaa yeh hai ke aidr log is planet pe kio aur kese h plz hamein apne delululu world mein rehne dein bcz apka paisa nhi lag rha ismein,bhai:HI logo:EN ki:HI bhut:HI jalti:HI ha:HI hum:HI jese:HI shippers:EN se:HI unka:HI aik:HI hi:HI aim:EN hota:HI hai:HI logo:EN ki:HI khushiyon:HI se:HI jalna:HI maslaa:HI yeh:HI hai:HI ke:HI aidr:HI log:HI is:HI planet:EN pe:HI kio:HI aur:HI kese:HI h:EN plz:EN hamein:HI apne:HI delululu:HI world:EN mein:HI rehne:HI dein:HI bcz:EN apka:HI paisa:HI nhi:HI lag:HI rha:HI ismein:HI,{world},{delululu world mein rehne dein},{0.605},{0.458}
181,inko nafarat apne ap se h hindu hone se hai warna ye secularism ka dhong na krte hindu sedarta kon hai hindu ko dara kar rkhne wale darne ki baat karte tbi aaye din desh ko badnam krte hindu dharm sanskriti ko gali dete allah k naam pe inke chehre khil jate lekin apne,inko:HI nafarat:HI apne:HI ap:HI se:HI h:EN hindu:EN hone:HI se:HI hai:HI warna:HI ye:HI secularism:EN ka:HI dhong:EN na:HI krte:HI hindu:EN sedarta:HI kon:HI hai:HI hindu:EN ko:HI dara:HI kar:HI rkhne:HI wale:HI darne:HI ki:HI baat:HI karte:HI tbi:EN aaye:HI din:HI desh:HI ko:HI badnam:HI krte:HI hindu:EN dharm:HI sanskriti:HI ko:HI gali:HI dete:HI allah:HI k:HI naam:HI pe:HI inke:HI chehre:HI khil:HI jate:HI lekin:HI apne:HI,{secularism; hindu dharm sanskriti; desh},{dhong; gali dete; badnam krte},{0.150; 0.050; 0.100},{0.750; 0.800; 0.700}
182,ye to mai bhi kr lu apne alt ke sth isme kya naya hai be,ye:HI to:HI mai:HI bhi:HI kr:EN lu:HI apne:HI alt:EN ke:HI sth:EN isme:HI kya:HI naya:HI hai:HI be:EN,{ye},{mai bhi kr lu apne alt ke sth isme kya naya hai be},{0.150},{0.750}
183,din vich lakh waari hasda c hun bin matlab de rona aa jnde jinu krda aan pyaar dilo mai adh vichkaare ohi hath shuda jnde,din:HI vich:EN lakh:HI waari:HI hasda:HI c:EN hun:HI bin:EN matlab:HI de:HI rona:HI aa:HI jnde:HI jinu:EN krda:HI aan:HI pyaar:HI dilo:HI mai:HI adh:HI vichkaare:HI ohi:EN hath:HI shuda:HI jnde:HI,{pyaar},{dilo mai adh vichkaare ohi hath shuda jnde},{0.325},{0.575}
184,to people who don t like apne kbi achi bani hui pee nhe hogi,to:EN people:EN who:EN don:EN t:EN like:EN apne:HI kbi:HI achi:HI bani:HI hui:HI pee:EN nhe:EN hogi:HI,{pee},{apne kbi achi bani hui nhe hogi},{0.350},{0.450}
185,singh waise oci card ka size kya hota hai apne bete se puchh ke bataiye,singh:HI waise:HI oci:EN card:EN ka:HI size:EN kya:HI hota:HI hai:HI apne:HI bete:HI se:HI puchh:HI ke:HI bataiye:HI,{oci card},{size kya hota hai apne bete se puchh ke bataiye},{0.150},{0.750}
186,assist all ready kar chuka dm apne number,assist:EN all:EN ready:EN kar:HI chuka:HI dm:EN apne:HI number:EN,{assist; dm},{all ready kar chuka; apne number},{0.693; 0.503},{0.422; 0.266}
187,ye kaam to manmohan singh ji hi kar skte hai kyonki vo future ke bare me sochte hai aap ke paas nafrat kaise falai jaye iske siva koi soch hai hi nhi ydi hoti na to aaj kisan bhai apne ghar pr hote na ki border pr baithe hote,ye:HI kaam:HI to:EN manmohan:HI singh:HI ji:HI hi:HI kar:HI skte:HI hai:HI kyonki:HI vo:HI future:EN ke:HI bare:HI me:HI sochte:HI hai:HI aap:HI ke:HI paas:HI nafrat:HI kaise:HI falai:HI jaye:HI iske:HI siva:HI koi:HI soch:HI hai:HI hi:HI nhi:HI ydi:HI hoti:HI na:HI to:HI aaj:HI kisan:HI bhai:HI apne:HI ghar:HI pr:EN hote:HI na:HI ki:HI border:EN pr:EN baithe:HI hote:HI,{kaam; soch; kisan},{manmohan singh ji hi kar skte hai kyonki vo future ke bare me sochte hai; nafrat kaise falai jaye iske siva koi soch hai hi nhi; ghar pr hote na ki border pr baithe hote},{0.768; 0.467; 0.278},{0.559; 0.773; 0.591}
188,bahi fallow to kr diya mgr app apne follower or fallowing ko b dekhe na bahi app b fallow back de,bahi:HI fallow:EN to:EN kr:EN diya:HI mgr:EN app:EN apne:HI follower:EN or:EN fallowing:EN ko:HI b:EN dekhe:HI na:HI bahi:HI app:EN b:EN fallow:EN back:EN de:HI,{follower; fallowing; fallow back},{apne follower or fallowing ko b dekhe na; apne follower or fallowing ko b dekhe na; app b fallow back de},{0.548; 0.548; 0.484},{0.444; 0.444; 0.444}
189,accha to ye sb job modi apne italian dosto ko dega hai na,accha:HI to:HI ye:HI sb:EN job:EN modi:HI apne:HI italian:EN dosto:HI ko:HI dega:HI hai:HI na:HI,{job},{apne italian dosto ko dega},{0.150},{0.750}
190,aman history ki kise padi h inhone apne fayde ke hisaab se pic share krdi sir ji buzurg h pension ka sahara b to chahiye islye lge rehte h dalali krne kya pta koi pad mil jaye,aman:HI history:EN ki:HI kise:HI padi:HI h:EN inhone:HI apne:HI fayde:HI ke:HI hisaab:HI se:HI pic:EN share:EN krdi:HI sir:HI ji:HI buzurg:HI h:EN pension:EN ka:HI sahara:EN b:EN to:EN chahiye:HI islye:HI lge:HI rehte:HI h:EN dalali:HI krne:HI kya:HI pta:HI koi:HI pad:HI mil:HI jaye:HI,{history; pic; dalali; pad},{kise padi h; apne fayde ke hisaab se share krdi; lge rehte h; kya pta koi mil jaye},{0.350; 0.150; 0.100; 0.200},{0.400; 0.700; 0.750; 0.650}
191,sre apne apne kma ch busy rehnde a,sre:EN apne:HI apne:HI kma:EN ch:EN busy:EN rehnde:HI a:EN,{sre},{apne apne kma ch busy rehnde a},{0.451},{0.400}
192,apne khobsorat mamu zad bhai zulfiqar abdull shakoor khan or khala zad bhai saqlen mir kesath unke ghar main chand aks,apne:HI khobsorat:HI mamu:HI zad:EN bhai:HI zulfiqar:EN abdull:HI shakoor:EN khan:EN or:EN khala:HI zad:EN bhai:HI saqlen:HI mir:HI kesath:HI unke:HI ghar:HI main:HI chand:HI aks:HI,{mamu zad bhai; khala zad bhai},{khobsorat; kesath unke ghar main chand aks},{0.850; 0.683},{0.300; 0.355}
193,guys dont give thm footage joh abhi abhi apne matlab ke liye shehnaaz ki praise kar rahe hai ignore nd enjoy footage chaiye bas shehnaazgill,guys:EN dont:EN give:EN thm:EN footage:EN joh:HI abhi:HI abhi:HI apne:HI matlab:HI ke:HI liye:HI shehnaaz:HI ki:HI praise:EN kar:HI rahe:HI hai:HI ignore:EN nd:EN enjoy:EN footage:EN chaiye:HI bas:HI shehnaazgill:HI,{shehnaaz; shehnaazgill},{praise kar rahe hai; footage chaiye bas},{0.200; 0.150},{0.750; 0.800}
194,mr daksh aibla agr bacho ko guide karna ya fir unko sahi galt smjhana yaa fir unko motivate karna apne hkk ki aawaj uthana yaa apne hkk k liye koyi bat rkhna bhadkna hai to theek hai hm bacho ko koyi problem ni hai or apne safe future k liye sir k sath hn hm b badkne or bhadkane k lia ready h,mr:EN daksh:HI aibla:HI agr:HI bacho:HI ko:HI guide:EN karna:HI ya:HI fir:HI unko:HI sahi:HI galt:HI smjhana:HI yaa:HI fir:HI unko:HI motivate:EN karna:HI apne:HI hkk:HI ki:HI aawaj:HI uthana:HI yaa:HI apne:HI hkk:HI k:HI liye:HI koyi:HI bat:EN rkhna:HI bhadkna:HI hai:HI to:HI theek:HI hai:HI hm:HI bacho:HI ko:HI koyi:HI problem:EN ni:HI hai:HI or:EN apne:HI safe:EN future:EN k:HI liye:HI sir:EN k:HI sath:HI hn:HI hm:HI b:EN badkne:HI or:EN bhadkane:HI k:HI lia:HI ready:EN h:EN,{guide; motivate; aawaj; future},{agr bacho ko guide karna... bhadkna hai to theek hai; unko motivate karna... bhadkna hai to theek hai; apne hkk ki aawaj uthana... bhadkna hai to theek hai; apne safe future k liye sir k sath hn},{0.722; 0.753; 0.700; 0.876},{0.529; 0.644; 0.600; 0.459}
195,pratik ne bhi aaj galiyan di hai anpad gawaar bhi kaha fake toh pratik hai jabse aaya hai divya aur varun ke piche pada hai paglo jaise apne dam pe nahi khel sakta fake arrogance dikhata hai bas,pratik:HI ne:HI bhi:HI aaj:HI galiyan:HI di:HI hai:HI anpad:HI gawaar:HI bhi:HI kaha:HI fake:EN toh:HI pratik:HI hai:HI jabse:HI aaya:HI hai:HI divya:HI aur:HI varun:HI ke:HI piche:HI pada:HI hai:HI paglo:HI jaise:HI apne:HI dam:EN pe:HI nahi:HI khel:HI sakta:HI fake:EN arrogance:EN dikhata:HI hai:HI bas:HI,{pratik; pratik; khel; arrogance},{galiyan di hai anpad gawaar bhi kaha; fake toh pratik hai; apne dam pe nahi khel sakta; fake arrogance dikhata hai},{0.120; 0.111; 0.225; 0.144},{0.850; 0.602; 0.552; 0.676}
196,malikk jo khud jimmedar hai sb cheejo ka usi ko q bulaya jaye taliban me apne logo ko bhej ke waha pr masoom logo ko marne wale ko kahi pe bhi ni bulana chahiye,malikk:HI jo:HI khud:HI jimmedar:HI hai:HI sb:EN cheejo:HI ka:HI usi:HI ko:HI q:EN bulaya:HI jaye:HI taliban:EN me:HI apne:HI logo:EN ko:HI bhej:HI ke:HI waha:HI pr:EN masoom:HI logo:EN ko:HI marne:HI wale:HI ko:HI kahi:HI pe:HI bhi:HI ni:HI bulana:HI chahiye:HI,{malikk; malikk},{khud jimmedar hai sb cheejo ka; masoom logo ko marne wale ko kahi pe bhi ni bulana chahiye},{0.150; 0.260},{0.750; 0.573}
197,madhypradesh gdp per capita mai 27th rank par h apne bhai or madhypradesh k tatha kathit mama dhyan de trillion dollars ka state h agar state gdp or per capita nhi sudhar sakate to 18 saal se kiya kya,madhypradesh:HI gdp:EN per:EN capita:EN mai:HI 27th:EN rank:EN par:HI h:EN apne:HI bhai:HI or:EN madhypradesh:HI k:HI tatha:HI kathit:HI mama:EN dhyan:HI de:HI trillion:EN dollars:EN ka:HI state:EN h:EN agar:HI state:EN gdp:EN or:EN per:HI capita:EN nhi:HI sudhar:HI sakate:HI to:EN 18:EN saal:HI se:HI kiya:HI kya:HI,{gdp per capita; mama; state gdp; per capita; 18 saal},{27th rank par h; tatha kathit; nhi sudhar sakate; nhi sudhar sakate; kiya kya},{0.386; 0.150; 0.100; 0.100; 0.120},{0.463; 0.700; 0.650; 0.650; 0.800}
198,jo shakhs apne moun se taskeem kr raha k system nahi bna saka to os ko khud resign kr dena chahye resignarifhasan,jo:HI shakhs:HI apne:HI moun:HI se:HI taskeem:HI kr:EN raha:HI k:HI system:EN nahi:HI bna:HI saka:HI to:HI os:EN ko:HI khud:HI resign:EN kr:EN dena:HI chahye:HI resignarifhasan:HI,{system; shakhs},{nahi bna saka; resign kr dena chahye},{0.200; 0.275},{0.550; 0.597}
